2017-05-09 16:18:18 status unpacked libsemanage1:amd64 2.3-1+b1
2017-05-09 16:18:18 install libsepol1:amd64 <none> 2.3-2
2017-05-09 16:18:18 status half-installed libsepol1:amd64 2.3-2
2017-05-09 16:18:18 status unpacked libsepol1:amd64 2.3-2
2017-05-09 16:18:18 status unpacked libsepol1:amd64 2.3-2
2017-05-09 16:18:19 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-05-09 16:18:19 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2017-05-09 16:18:19 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-05-09 16:18:19 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2017-05-09 16:18:19 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2017-05-09 16:18:19 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2017-05-09 16:18:19 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-05-09 16:18:19 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2017-05-09 16:18:19 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-05-09 16:18:19 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-05-09 16:18:19 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-09 16:18:19 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-09 16:18:19 install lsb-base:all <none> 4.1+Debian13+nmu1
2017-05-09 16:18:19 status half-installed lsb-base:all 4.1+Debian13+nmu1
2017-05-09 16:18:19 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-05-09 16:18:19 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-05-09 16:18:19 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-05-09 16:18:19 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2017-05-09 16:18:19 status half-configured mawk:amd64 1.3.3-17
2017-05-09 16:18:19 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:19 status half-installed mawk:amd64 1.3.3-17
